Model,Energy Consumption (kWh),Carbon Emissions (kg CO2),Accuracy,F1 Score,Precision,Recall,AUC
Logistic Regression,9.73852603839913e-05,9.577645588244776e-06,0.6829269918959415,0.7406409220004097,0.6881043661272225,0.8018786571178718,0.7231038041714541
Decision Tree,9.981107186049624e-05,9.816219295336084e-06,0.6808852003013406,0.7510956893101031,0.6711911088991701,0.8533735146744037,0.7216603019794542
Random Forest,0.00036640142916621383,3.60348477556388e-05,0.684392484774884,0.7615305118868142,0.6640500022353326,0.8925682543221527,0.739158357018138
XGBoost,0.001016878076642099,0.00010000792508159717,0.712327411219588,0.7674802146841374,0.7058613263560524,0.8409169488655006,0.7687576248638094
