Disparate Impact Ratio,Statistical Parity Diff,Equal Opp. Diff,Error Rate Gap,FPR Gap,FNR Gap,Feature,Model
1.4207602758158715,0.2802890078442603,0.14559744105037312,-0.0666882969571926,0.4209700909067312,-0.14559744105037312,Gender,Decision Tree
1.335840213559593,0.24986814904082078,0.11471028531459304,-0.0788509166504437,0.40697900740376564,-0.11471028531459301,Gender,Random Forest
1.5538524111038772,0.3459383842335277,0.20651060204852434,-0.0755846608258769,0.4988602551805344,-0.20651060204852434,Gender,Logistic Regression
1.4573172072420026,0.29817578566670494,0.14714978498024775,-0.05468285302565967,0.44523546223378185,-0.14714978498024772,Gender,XGBoost
0.8688040294668244,-0.09939983972574766,-0.06074158889223278,0.02323663982358174,-0.09342584294264128,0.060741588892232766,Age,Decision Tree
0.864701554088486,-0.10955861286496094,-0.0660593718027519,0.026206044017273222,-0.11077719834135287,0.06605937180275187,Age,Random Forest
0.8650241093873812,-0.09590602382563813,-0.0612296414461496,0.020697385392981583,-0.08324602070623126,0.06122964144614958,Age,Logistic Regression
0.8526743422370663,-0.10994634792970355,-0.06583809569366302,0.019619870670841665,-0.10123312473507565,0.06583809569366302,Age,XGBoost
0.3198671157563637,-0.5032402849912754,-0.44338741355138095,-0.02988897125036869,-0.4267103170546294,0.44338741355138084,MaritalStatus,Decision Tree
0.1903672122521432,-0.6518432818691027,-0.6120362230070024,-0.03625478987402715,-0.5713360920745434,0.6120362230070024,MaritalStatus,Random Forest
0.35875084021949244,-0.449910981436968,-0.38882253496917996,-0.02850745945562516,-0.36900876552413336,0.38882253496917996,MaritalStatus,Logistic Regression
0.37140445075643924,-0.44977689312105246,-0.35892365785345837,-0.031065996776878334,-0.36536083989384494,0.35892365785345837,MaritalStatus,XGBoost
0.8135944719173634,-0.16071509647661125,-0.06983393667794577,0.02881098180444881,-0.20555448846577304,0.06983393667794577,Education,Decision Tree
0.7931743927708004,-0.18210256155300583,-0.08547919808498967,0.028653200793986776,-0.23327510106111404,0.08547919808498965,Education,Random Forest
0.7000123128789493,-0.2501484329336733,-0.15526753459721668,0.021385042300665826,-0.29677676857100355,0.1552675345972167,Education,Logistic Regression
0.7248233909457347,-0.23061505892290582,-0.12131510869547368,0.010847156303523953,-0.2803201154726632,0.12131510869547371,Education,XGBoost
1.3698358428431607,0.25425889932925794,0.12648839358638492,-0.0692557445385768,0.3884621456851197,-0.1264883935863849,All (Gender),Decision Tree
0.865616348961485,-0.10281493140869216,-0.06504431529449055,0.02430694808997592,-0.09943185739360717,0.06504431529449053,All (Age),Decision Tree
0.36488482315461257,-0.4737846574680741,-0.3860867473194993,-0.037536818655828384,-0.41599883472351246,0.3860867473194993,All (MaritalStatus),Decision Tree
0.8129142350715977,-0.1526351187166383,-0.06938128148830265,0.02505973846869334,-0.18439476560098728,0.06938128148830267,All (Education),Decision Tree
1.316539006484435,0.23879714326029747,0.10871835452457565,-0.08327573414375433,0.38930327491828576,-0.10871835452457565,All (Gender),Random Forest
0.8877001514150512,-0.09266222024835362,-0.05277995424583182,0.02980603262524093,-0.09440292558055756,0.052779954245831776,All (Age),Random Forest
0.2513790319638119,-0.61518847216194,-0.5414089955544524,-0.04250278947457431,-0.5590603777324712,0.5414089955544524,All (MaritalStatus),Random Forest
0.8148695891583856,-0.16436581990079135,-0.07177782658023694,0.03244076027742735,-0.2163819325721515,0.07177782658023696,All (Education),Random Forest
1.5327035103966704,0.3382813578552505,0.20381556922900995,-0.08085917197779288,0.48762860246697476,-0.20381556922900992,All (Gender),Logistic Regression
0.8703002652938174,-0.09270780752994918,-0.0568411080105079,0.018728336674422873,-0.08475067794719687,0.0568411080105079,All (Age),Logistic Regression
0.2893874821480008,-0.49923477787637827,-0.44434548737407925,-0.04332725029484592,-0.4203343251636581,0.44434548737407925,All (MaritalStatus),Logistic Regression
0.7836594675566693,-0.16879547129614983,-0.08025403277316923,0.010854853139065045,-0.20584697955883313,0.08025403277316923,All (Education),Logistic Regression
1.4440054256842747,0.29190392592604686,0.14297915276071696,-0.05530201639308023,0.4396291825449222,-0.14297915276071693,All (Gender),XGBoost
0.8763944391397841,-0.09045841104668528,-0.05347661229861855,0.023390049985716078,-0.07484458626576826,0.05347661229861855,All (Age),XGBoost
0.3727280080161445,-0.449835976889955,-0.3528437620042044,-0.036806933523530004,-0.3726945960871335,0.3528437620042045,All (MaritalStatus),XGBoost
0.7648630842514389,-0.1913837447558524,-0.08778459201095953,0.008351802615606307,-0.23555923216933783,0.08778459201095952,All (Education),XGBoost
