Model,F1 Score,AUC,Energy Consumption (kWh),Carbon Emissions (kg CO2),DIR_Distance,SPD_Distance,TOPSIS Score,Ranking
Decision Tree,0.7510956893101031,0.7216603019794541,9.981107186049624e-05,9.816219295336084e-06,0.3316051089138664,0.24587340173066558,0.9858656030633302,1
Logistic Regression,0.7406409220004097,0.7231038041714541,9.73852603839913e-05,9.577645588244776e-06,0.3973390738495457,0.2747548536394319,0.9166972941097069,2
Random Forest,0.7615305118868143,0.739158357018138,0.0003664014291662,3.60348477556388e-05,0.34064755848679656,0.2777534138928456,0.7050742592992421,3
XGBoost,0.7674802146841374,0.7687576248638094,0.001016878076642,0.0001000079250815,0.35750497356922684,0.2558955146546349,0.05669759127498393,4
