Model,Accuracy,Precision,Recall,F1 Score,AUC
Decision Tree,0.6808852003013406,0.6711911088991702,0.8533735146744037,0.7510956893101031,0.7216603019794541
Random Forest,0.6843924847748841,0.6640500022353327,0.8925682543221527,0.7615305118868143,0.739158357018138
Logistic Regression,0.6829269918959415,0.6881043661272225,0.8018786571178718,0.7406409220004097,0.7231038041714541
XGBoost,0.7123274112195881,0.7058613263560523,0.8409169488655006,0.7674802146841374,0.7687576248638094
